JP58, SMT-JUMPER_2_NO_NO-SILK, 238.25, 178.25, T,   0, JUMPER-SMT_2_NO_NO-SILK
JP59, SMT-JUMPER_2_NO_NO-SILK, 253.25, 178.25, T,   0, JUMPER-SMT_2_NO_NO-SILK
JP60, SMT-JUMPER_2_NO_NO-SILK, 268.25, 178.25, T,   0, JUMPER-SMT_2_NO_NO-SILK
JP61, SMT-JUMPER_2_NO_NO-SILK, 283.25, 178.25, T,   0, JUMPER-SMT_2_NO_NO-SILK
JP62, SMT-JUMPER_2_NO_NO-SILK, 298.25, 178.25, T,   0, JUMPER-SMT_2_NO_NO-SILK
JP63, SMT-JUMPER_2_NO_NO-SILK, 313.25, 178.25, T,   0, JUMPER-SMT_2_NO_NO-SILK
JP64, SMT-JUMPER_2_NO_NO-SILK, 13.25, 163.25, T,   0, JUMPER-SMT_2_NO_NO-SILK
JP65, SMT-JUMPER_2_NO_NO-SILK, 28.25, 163.25, T,   0, JUMPER-SMT_2_NO_NO-SILK
JP66, SMT-JUMPER_2_NO_NO-SILK, 43.25, 163.25, T,   0, JUMPER-SMT_2_NO_NO-SILK
JP67, SMT-JUMPER_2_NO_NO-SILK, 58.25, 163.25, T,   0, JUMPER-SMT_2_NO_NO-SILK
JP68, SMT-JUMPER_2_NO_NO-SILK, 73.25, 163.25, T,   0, JUMPER-SMT_2_NO_NO-SILK
